"rank","taxon_gp","taxon","description","exclusion_reason","exclusion_exception"
1,"phylum","Magnoliophyta","flowering plants (angiosperms","non-invertebrate",0
1,"phylum","Rotifera","wheel animals (rotifers)","micro",0
1,"phylum","Proteobacteria","bacteria, prokaryotes","non-invertebrate",0
1,"phylum","Ascomycota","fungi","non-invertebrate",0
1,"phylum","Gyrista","heterokont protists","non-invertebrate",0
1,"phylum","Rhodophyta","red algae","non-invertebrate",0
1,"phylum","Chordata","vertebrates","non-invertebrate",0
1,"phylum","Bacillariophyta","blue-green bacteria","non-invertebrate",0
1,"phylum","Tardigrada","tardigrades","predominantly non-stream-dwelling",0
1,"phylum","Amoebozoa","Amoebae","micro",0
1,"phylum","Evosea","Amoebae","micro",0
1,"phylum","Chlorophyta","green algae","non_invertebrate",0
1,"phylum","Nematoda","round worms","predominantly micro",0
1,"phylum","Basidiomycota","higher fungi","non-invertebrate",0
1,"phylum","Streptophyta","land plants & green algae","non-invertebrate",0
1,"phylum","Gastrotricha","gastrotrichs (hairybacks)","micro",0
1,"phylum","Oomycota","fungi relatives","non-invertebrate",0
1,"phylum","Discosea","amoebozoa","micro",0
1,"phylum","Echinodermata","echinoderms","marine",0
1,"phylum","Haptophyta","marine microalgae","marine, non-invertebrate and micro!",0
1,"class","Collembola","springtails","non-(at best semi-) aquatic",0
1,"class","Ostracoda","seed shrimp","micro",0
1,"class","Diplopoda","millipedes","non-aquatic",0
1,"class","Oomycetes","microscopic fungi relatives","non-invertebrate",0
1,"class","Oomycota","microscopic fungi relatives (listed sometimes as a phylum)","non-invertebrate",0
1,"class","Copepoda","copepods","micro",0
1,"phylum","Mucoromycota","fungi","non-invertebrate",0
1,"phylum","Ochrophyta","algae","non-invertebrate",0
1,"phylum","Charophyta","charophytes","non-invertebrate",0
1,"class","Hexanauplia","Copepoda","non-invertebrate",0
1,"class","Symphyla","Millipedes,Centipedes","non-invertebrate",0
1,"class","Mucoromycetes","Fungi","non-invertebrate",0
1,"class","Phaeophyceae","Brown algae","non-invertebrate",0
1,"class","Synurophyceae","algae","non-invertebrate",0
1,"class","Equisetopsida","Ferns","non-invertebrate",0
2,"order","Sarcoptiformes","mites","predominantly non-aquatic ***FOR DISCUSSION...Hydrozetes?",0
2,"order","Mesostigmata","mites","non-aquatic *** Correct?",0
2,"order","Cyclopoida","copepods","predominantly micro",0
2,"order","Hymenoptera","bees, ants","non-aquatic",0
2,"order","Blattodea","cockroaches, termites","non-aquatic",0
2,"order","Diplostraca","waterfleas","micro",0
2,"order","Anomopoda","waterfleas","micro",0
2,"order","Crassiclitellata","earthworms","non-aquatic",0
2,"order","Stylommatophora","land slugs","non-aquatic",0
2,"order","Diplura","Collembola and relatives","non-(at best semi-) aquatic",0
2,"order","Psocoptera","barkflies and booklice","non_aquatic",0
2,"order","Araneae","spiders","non-(at best semi-) aquatic",0
2,"order","Ixodida","ticks","terrestrial",0
2,"order","Rickettsiaceae;","bacteria","non-invertebrate",0
2,"order","Rickettsiaceae","bacteria","non-invertebrate",0
2,"order","Psocodea","bark lice","terrestrial",0
2,"order","Thysanoptera","thrips","terrestrial",0
2,"order","Mucorales","fungi","non-invertebrate",0
2,"order","Ectocarpales","algae","non-invertebrate",0
2,"order","Ochromonadales","algae","non-invertebrate",0
2,"order","Caryophyllales","flowering plants","non-invertebrate",0
2,"order","Fabales","flowering plants","non-invertebrate",0
2,"order","Myrtales","flowering plants","non-invertebrate",0
2,"order","Calanoida","copepods","microcrustaceans, non-macro",0
2,"order","Orthoptera","grasshoppers etc.","terrestrial",0
2,"order","Lepidoptera","moths, butterflies","terrestrial except Crambidae, included below",0
2,"order","Agaricomycetes","Fungi","non-invertebrate",0
2,"order","Pseudoscorpiones","Pseudoscorpions","terrestrial",0
2,"order","Phasmatodea","Phasmids","terrestrial",0
2,"order","Rhabdura","aka Diplura","likely terrestrial, minute",0
2,"genus","Exapion","straight-snouted weevils, mistakenly placed in Nanophyidae","terrestrial",0
3,"family","Cicadellidae","cicadas","non-aquatic",0
3,"family","Delphacidae","planthoppers","non-aquatic",0
3,"family","Thripidae","thrips","non-aquatic",0
3,"family","Ricaniidae","planthoppers","non-aquatic",0
3,"family","Psyllidae","psyllids","non-aquatic",0
3,"family","Pentatomidae","stink bugs","non-aquatic",0
3,"family","Porcellionidae","terrestrial isopods","non-aquatic",0
3,"family","Bdellidae","terrestrial mites","non-aquatic",0
3,"family","Adelidae","terrestrial moths","non-aquatic",0
3,"family","Elachistidae","terrestrial moths","non-aquatic",0
3,"family","Erebidae","terrestrial moths","non-aquatic",0
3,"family","Oecophoridae","terrestrial moths","non-aquatic",0
3,"family","Tortricidae","terrestrial moths","non-aquatic",0
3,"family","Cecidomyiidae","gall midges","non-aquatic",0
3,"family","Ectopsocidae","bark lice","non-aquatic",0
3,"family","Aphididae","aphids","non-aquatic",0
3,"family","Trombidiidae","red velvet mites","non-aquatic",0
3,"family","Erythraeidae","parasitic trombid mites","non-aquatic",0
3,"family","Cleridae","checkered beetles","non-aquatic",0
3,"family","Aphalaridae","terrestrial psylloid bugs","non-aquatic",0
3,"family","Latridiidae","fungus beetles","non-aquatic",0
3,"family","Philotarsidae","book lice","non-aquatic",0
3,"family","Mycetophilidae","fungus gnats","non-aquatic",0
3,"family","Geoplanidae","land planarians","non-aquatic",0
3,"family","Cryptophagidae","siken fungus beetles","non-aquatic",0
3,"family","Pseudococcidae","scale insects","non-aquatic",0
3,"family","Drosophilidae","vinegar/fruit flies","non-aquatic",0
3,"family","Geomitridae","land snails","non-aquatic",0
3,"family","Xyloryctidae","tree moths","non-aquatic",0
3,"family","Noctuidae","owlet moths","non-aquatic",0
3,"family","Triozidae","jumping plant lice","non-aquatic",0
3,"family","Cossidae","miller moths","non-aquatic",0
3,"family","Hepialidae","ghost moths","non-aquatic",0
3,"family","Nolidae","tuft moths","non-aquatic",0
3,"family","Liviidae","plant-parasite bugs","non-aquatic",0
3,"family","Sepsidae","ensign flies","non-aquatic",0
3,"family","Pemphigidae","wooly aphids, now Eriosomatinae","non-aquatic",0
3,"family","Lasiocampidae","tent caterpillars","non-aquatic",0
3,"family","Sciaridae","fungus gnats","non-aquatic",0
3,"family","Tineidae","fungus moths","non-aquatic",0
3,"family","Aleyrodidae","white-flies","non-aquatic",0
3,"family","Agromyzidae","leaf-miner flies","non-aquatic",0
3,"family","Alydidae","broad-headed bugs","non-aquatic",0
3,"family","Calliphoridae","blow flies","non-aquatic",0
3,"family","Anthelidae","lappet moths","non-aquatic",0
3,"family","Plutellidae","diamond-back moths","non-aquatic",0
3,"family","Attelabidae","terrestrial weevils","non-aquatic",0
3,"family","Cantharidae","soldier beetles","non-aquatic",0
